match_id,team1,team2,team1_win_rate,team2_win_rate,team1_recent_wins,team2_recent_wins,win_rate_diff,target
644660,Team Secret,Global Esports,0.5,0.5,0,0,0.0,0
642935,All Gamers,TYLOO,1.0,0.0,1,0,1.0,0
644661,Rex Regum Qeon,VARREL,0.5,0.5,0,0,0.0,1
642936,EDward Gaming,Dragon Ranger Gaming,1.0,1.0,1,1,0.0,1
649766,Nuxeria Esport,Mandatory,0.5,0.5,0,0,0.0,0
649801,GHOSTS,Fire Flux Esports,0.0,0.0,0,0,0.0,0
651544,Dortmund eSports,CGN Esports,1.0,1.0,1,1,0.0,0
649767,Caldya Esport,F9 EICAR,0.5,0.5,0,0,0.0,0
651193,Stallions Esports,Team Spire,0.5,0.5,0,0,0.0,1
649802,Dark Passage,Beşiktaş Esports,0.5,0.5,0,0,0.0,0
651545,AKA HERO,RIZON,0.0,0.0,0,0,0.0,0
649768,Esprit Shōnen,Galions,0.5,0.5,0,0,0.0,1
651194,AlQadsiah Esports,VillianArc,0.5,0.5,0,0,0.0,1
645476,100 Thieves,Evil Geniuses,0.5,0.5,0,0,0.0,1
645477,ENVY,LOUD,0.5,0.5,0,0,0.0,0
644662,FULL SENSE,ZETA DIVISION,0.5,0.5,0,0,0.0,1
642937,JD Mall JDG Esports(JDG Esports),Wuxi Titan Esports Club(Titan Esports Club),0.0,1.0,0,1,-1.0,1
644663,Gen.G,Paper Rex,0.5,0.5,0,0,0.0,1
642938,Xi Lai Gaming,Wolves Esports,1.0,0.0,1,0,1.0,1
649769,Caldya Esport,Nuxeria Esport,0.0,0.0,0,0,0.0,1
649803,Bushido Wildcats,Misa Esports,0.5,0.5,0,0,0.0,0
650502,KPI Gaming,Ramboot Club,0.5,1.0,0,1,-0.5,1
650503,Falke Esports,HGE Esport,0.5,1.0,0,1,-0.5,1
651546,eSports Cologne,ALTERNATE aTTaX,0.0,0.0,0,0,0.0,0
649770,Joblife,WIP Esports,0.5,0.5,0,0,0.0,0
651380,BAAM Esports,GnG Esports,0.5,0.5,0,0,0.0,1
649804,REBORN,FUT Esports Academy,1.0,0.5,1,0,0.5,1
650496,Barça eSports,DNSTY,1.0,1.0,1,1,0.0,0
651547,Eintracht Frankfurt,FOKUS,1.0,1.0,1,1,0.0,1
649771,F9 EICAR,Galions,1.0,0.0,1,0,1.0,1
651381,Gamax Esports,Team RA'AD,0.5,0.5,0,0,0.0,1
645478,Cloud9,LEVIATÁN,0.5,0.5,0,0,0.0,0
645479,FURIA,NRG,0.5,0.5,0,0,0.0,1
649805,Eternal Fire Passion,Beşiktaş Esports,0.5,1.0,0,1,-0.5,0
650504,Otakar Esports,KPI Gaming,0.0,1.0,0,1,-1.0,1
649772,WIP Esports,Mandatory,1.0,1.0,1,1,0.0,1
650505,UCAM Esports Club,Falke Esports,0.0,1.0,0,1,-1.0,0
649806,Galatasaray Esports,Fire Flux Esports,1.0,0.5,1,1,0.5,1
649773,Esprit Shōnen,Joblife,1.0,0.0,1,0,1.0,1
628314,Team Liquid Brazil,PÃO COM RATO,1.0,0.5,1,0,0.5,1
651755,Division One,ROSE,0.5,0.5,0,0,0.0,1
651756,Evil Geniuses Academy,NRG Academy,0.5,0.0,0,0,0.5,1
628315,Evil Geniuses GC,MIBR GC,0.5,0.0,0,0,0.5,0
650937,LYON,STREAMER ARENA,0.5,0.5,0,0,0.0,1
651757,Evictix,Pigeons,0.0,0.5,0,0,-0.5,0
651758,Alliance Guardians,QoR,0.0,0.5,0,0,-0.5,0
650942,Contra,LAZER,0.5,0.5,0,0,0.0,1
642939,TYLOO,JD Mall JDG Esports(JDG Esports),0.5,0.5,1,1,0.0,0
648486,Team Falcons Vega,IVY,1.0,1.0,1,1,0.0,1
642940,Trace Esports,Dragon Ranger Gaming,0.5,0.5,1,1,0.0,0
648487,36 Thieves,Stallions Lyra,1.0,1.0,1,1,0.0,0
